#,aspect,variante,note_sur_10,retenue,forces,faiblesses,effet_usage
04,"Zone Document (phrases, frontières/split, sélection, surlignage des thèmes)",Couche d'affordance & découvrabilité progressive,7,,"Attaque la douleur la plus coûteuse en formation : la non-découvrabilité des gestes et de l'arbitrage LLM puissant mais caché; Révélation progressive respectée : l'aide apparaît à l'intention, jamais en permanence; Valorise des fonctions déjà construites (compare, adoption, peek) sans les réécrire","N'allège pas réellement le nombre de gestes ni la densité visuelle — elle l'explique au lieu de la réduire; Risque d'ajouter encore des éléments d'UI (hints, badges) à un composant déjà dense si mal dosé; Effet dépend de la sobriété de l'iconographie : trop visible, elle pollue ; trop discrète, elle est ratée","Courbe d'apprentissage fortement raccourcie pour les nouveaux (ils trouvent bloc/plage/adoption sans tutoriel) ; pour l'expert, gain marginal mais accès plus rapide aux outils d'arbitrage. Charge cognitive de mémorisation transférée vers une aide à la demande."
04,"Zone Document (phrases, frontières/split, sélection, surlignage des thèmes)",Gouttière d'arbitrage unifiée + bord gauche assaini (consolidation),9,OUI,"Répond à TOUTES les faiblesses majeures : hex, bord gauche, dispersion frontière/split, densité des badges, et un minimum de découvrabilité; Un lieu unique pour l'arbitrage → fin de la corrélation manuelle entre 3 zones d'écran ; le flux de lecture par défaut redevient calme; Maximise la révélation progressive : la complexité N-way ne s'affiche que sur demande (gouttIère/popover/mode Compare)",Périmètre le plus large → plus d'effort et plus de surface de test (le composant ~1530 lignes est fragile); Masquer les ghosts par défaut peut dérouter les utilisateurs avancés habitués à les voir inline (nécessite un opt-in bien signalé); Nécessite de bien doser l'iconographie de la gouttIère pour ne pas recréer du bruit à droite,Lecture par défaut nettement plus calme (moins de signaux permanents) → moins de fatigue sur longs documents ; arbitrage plus rapide (un seul point d'entrée au lieu de trois) ; nouveaux annotateurs autonomes plus vite. Charge cognitive globalement la plus basse des trois.
05,Menu contextuel clic-droit (SentenceMenu : annoter / bloc LLM à retirer / traduire),Menu express à révélation progressive,9,OUI,"Respecte la nature d'un menu contextuel : actions ciblées et rapides, pas un inspecteur déguisé; Charge cognitive minimale à l'ouverture ; détails strictement à la demande (révélation progressive native); Mise en avant de l'action dominante (thème principal) atteignable en un geste clavier/souris; Hauteur bornée, donc collision/tactile bien plus simples à gérer","Un clic supplémentaire pour les actions avancées (multi-label, arbitrage LLM) que les experts faisaient en direct; Demande de définir une heuristique de 'thème suggéré' (récent ou consensus LLM) pour que le raccourci 1-clic soit pertinent","Annotateur standard : 1 geste pour poser le thème principal et valider, sans lire un mur d'options. Expert : 1 clic de plus pour le multi-label/LLM, mais bruit permanent supprimé. Vitesse en hausse sur le cas dominant, charge cognitive nettement réduite."
05,Menu contextuel clic-droit (SentenceMenu : annoter / bloc LLM à retirer / traduire),Menu à onglets segmentés (Annoter / LLM / Traduire),7,,Garde toutes les capacités existantes sans rien retirer aux experts; Hauteur prévisible et stable quel que soit le contenu (un seul onglet rendu); Découvrabilité de l'arbitrage LLM améliorée par un onglet nommé avec badge d'état; Migration à faible risque : on réorganise des sections déjà présentes,"Un menu contextuel à onglets reste lourd et inhabituel — frôle l'anti-pattern (c'est presque un panneau); Le coût d'un clic d'onglet pour changer de mode peut ralentir les allers-retours annoter↔LLM; Ne réduit pas la duplication avec l'Inspecteur, juste mieux rangée","Réduit la sensation de mur d'options et stabilise la mise en page ; l'annotateur trouve plus vite la bonne zone. Mais le geste reste 'ouvrir le menu puis choisir l'onglet', donc gain de vitesse modéré et charge cognitive moyenne."
05,Menu contextuel clic-droit (SentenceMenu : annoter / bloc LLM à retirer / traduire),Barre d'actions rapide + survol d'inspection (sans gros menu),7,,"Geste le plus rapide possible pour le cas dominant (chips de thème + valider en place); Cohérent avec les patterns existants (SelectionToolbar, survols différés) — réduit la dispersion d'interaction; Élimine quasi tout le contenu lourd du menu : zéro mur d'options, encombrement minimal de l'écran; Délègue clairement l'enrichissement fin à l'Inspecteur (fin de la duplication)","L'arbitrage LLM 'adopter sur tout le segment' devient moins direct (survol → action) et peut perdre en découvrabilité s'il n'est pas bien signalé; Multiplie encore les surfaces d'action (une barre de plus) si la SelectionToolbar n'est pas fusionnée avec; Sur tactile/long-press, une barre flottante + survol est moins naturelle qu'un menu plein","Pour l'expert au flux rapide : annotation quasi instantanée sans popover. Mais l'arbitrage LLM et le multi-label exigent un détour (Inspecteur/hover), donc charge cognitive déplacée plus que réduite pour ces cas — gain net surtout sur l'annotation simple à fort volume."
06,"Inspecteur (rationale, comparaison juges, nature, divergence)",Inspecteur en accordéon hiérarchisé (révélation progressive),8,OUI,"Réduit drastiquement la densité visuelle permanente : l'action principale (Valider) et la qualification de base (thème/certitude) dominent, le reste est à la demande.; Révélation progressive native, conforme à l'exigence transverse ; les résumés d'une ligne évitent de cacher l'information utile.; Refactor à faible risque : on déplace des blocs existants dans des <details>/sections contrôlées sans toucher à la logique du store.",Un clic supplémentaire pour atteindre evidence/rationale chez les annotateurs qui les remplissent systématiquement (atténuable par mémorisation de l'état d'ouverture par compte).; Le repli peut masquer une section que l'annotateur oublie de remplir si le résumé « vide » n'est pas assez saillant.,"Scan vertical plus court et focalisé sur Valider/thème ; charge cognitive réduite sur la clause simple (90% des cas), léger surcoût d'un clic sur la clause riche."
06,"Inspecteur (rationale, comparaison juges, nature, divergence)",Panneau d'arbitrage unifié piloté par la divergence,7,,"Élimine la redondance et la désynchronisation des trois dispositifs d'arbitrage (faiblesse n°3) ; un seul modèle mental.; Corrige le piège « Reprendre » partiel (faiblesse n°4) en séparant adoption complète et reprise texte.; Rend l'arbitrage découvrable par le badge de divergence, sans dépendre du survol/raccourci peu signalés (douleur découvrabilité LLM).",Chantier plus lourd : nécessite de relier l'état llmSource/Compare au store et de factoriser un composant de rendu partagé hover/inspecteur.; Risque d'élargir le panneau en mode comparaison côte à côte sur inspecteur étroit (gérer un repli en pile vertical sous une largeur seuil).,"Décision d'arbitrage plus rapide et plus sûre (un seul endroit, action complète sans surprise) ; moins d'allers-retours entre hover, inspecteur et ComparePanel."
06,"Inspecteur (rationale, comparaison juges, nature, divergence)",Mise en conformité tokens + iconographie subtile (quick-fix design system),6,,"Très faible effort, gain immédiat : bascule clair/sombre correcte et contraste AA garantis partout dans l'inspecteur.; Supprime les deux « vérités » couleur pour un même sens et formalise une iconographie subtile et homogène (cohérente avec MessageSquare déjà présent).; Aucun risque fonctionnel : pas de changement de flux ni de store, déployable seul.","Ne touche pas à la densité ni à l'arbitrage : les faiblesses structurelles (monolithe, redondance LLM, Reprendre partiel) demeurent.; Gain perçu modeste pour l'annotateur au quotidien (cosmétique/accessibilité plus que productivité).","Aucun changement de vitesse de geste, mais lisibilité et confort accrus (contraste, cohérence) notamment en thème clair ; base saine pour les autres variantes."
07,"Système de thèmes : couleurs → renforcement par icônes (subtil, sans fatigue visuelle)",Glyphe de thème monochrome dans la pastille (remplace le point),9,OUI,"Zéro signal ajouté : on substitue une forme porteuse de sens à un point muet, même emplacement → aucune sur-densité, parfaitement aligné 'subtil'; Discrimination pré-attentive des 9 teintes quasi-jumelles (verts/rouges/violets) sans lire le libellé → scan du plan/rail nettement plus rapide; Monochrome = bascule clair/sombre automatique (currentColor), robuste daltonisme (la forme ne dépend pas de la teinte), zéro nouveau hex; Un seul point d'injection (token + helper) ; les composants consommateurs changent à la marge","Coût de design : choisir 20 glyphes univoques et mémorisables (certains thèmes juridiques abstraits — MISC_BOILERPLATE, PREAMBLE_SCOPE — n'ont pas d'icône évidente); Courbe d'apprentissage initiale du mapping thème→icône (atténuée par le libellé toujours présent); À très petite taille (sm, text-[11px]) une icône fine peut être moins lisible qu'un aplat de couleur ; demande un strokeWidth/size calibrés","L'annotateur reconnaît le thème à la FORME en vision périphérique (reconnaissance, pas lecture) : scan du plan ~193 entrées et balayage du rail bien plus rapides, moins d'erreurs d'affectation entre thèmes voisins, charge cognitive réduite en lecture-seule/arbitrage."
07,"Système de thèmes : couleurs → renforcement par icônes (subtil, sans fatigue visuelle)","Icône révélée à la demande (couleur par défaut, forme au survol/focus)",6,,"Risque de fatigue visuelle quasi nul : aucun glyphe permanent dans les zones denses, l'œil au repos voit l'UI actuelle; S'intègre dans l'infrastructure de hover/tooltip déjà existante (faible effort, faible risque de régression); Bon pédagogiquement : aide à apprendre le mapping thème→icône sans l'imposer",Ne résout PAS la douleur de scan au repos : les 9 teintes jumelles restent indiscernables tant qu'on ne survole pas → le gain de vitesse sur le plan long est nul; Bénéfice ponctuel et tardif (après 450 ms d'intention) plutôt que pré-attentif et continu; Survol indisponible au clavier pur / tactile au repos → couverture d'usage inégale,"Aide à mémoriser et à lever un doute ponctuel sur une clause précise, mais le balayage rapide du plan/rail reste aussi lent qu'aujourd'hui : impact limité sur le débit d'annotation."
07,"Système de thèmes : couleurs → renforcement par icônes (subtil, sans fatigue visuelle)",Icône de FAMILLE (catégorie juridique) au lieu de 1 icône / 20 thèmes,7,,"Beaucoup moins de glyphes à concevoir et mémoriser (6-7 vs 20) → adoption plus rapide; Sépare proprement les deux questions : la forme tranche les grandes familles (les violets vs rouges vs verts coïncident souvent avec des familles distinctes), la couleur affine dans la famille; Ouvre un regroupement du plan par section/famille (autre douleur citée : plan trop long et plat)","Ne désambiguïse PAS deux thèmes de la MÊME famille à teintes proches (ex. WARRANTY vs LIMITATION, tous deux 'responsabilité' et rouges) → l'ambiguïté la plus piégeuse subsiste; Nécessite de définir/valider une taxonomie de familles (travail métier, risque de désaccords); Mapping famille moins immédiat qu'une icône propre au thème quand on raisonne par thème unitaire","Accélère le tri grossier (repérer la grande famille d'un coup d'œil) et structure le plan, mais l'annotateur doit encore s'appuyer sur la couleur/le libellé pour les paires jumelles intra-famille : gain réel mais partiel."
08,"Arbitrage & explicabilité C1–C5 (proposition du moteur, pourquoi, actions + alternatives, révélation à la demande)",Tokenisation sémantique + AA-safe (mise en conformité du système existant),8,,"Effort faible, risque très bas : aucune refonte d'interaction, on touche levels.ts + ~5 style inline; Corrige d'un coup la violation hex en dur ET la bascule clair/sombre ET le contraste AA des badges; Cohérence immédiate avec StatusPill/ClauseChip une fois ceux-ci migrés (un seul vocabulaire couleur d'état)",N'améliore PAS la découvrabilité hors mode File (le problème de fond reste); Risque de collision sémantique : C3 multi-label n'est pas un 'état' classique (ni succès ni alerte) — il faut introduire/assumer un token info/accent dédié sans le confondre avec l'accent de marque; Ne réduit pas la densité visuelle de la carte,"Effet quasi nul sur la vitesse au quotidien, mais supprime la fatigue/erreurs en thème clair et sur écrans à faible contraste ; surtout, fiabilise la lecture du niveau (le code couleur devient enfin fiable et cohérent partout), ce qui réduit l'hésitation 'c'est quoi ce niveau déjà ?'."
08,"Arbitrage & explicabilité C1–C5 (proposition du moteur, pourquoi, actions + alternatives, révélation à la demande)",Arbitrage ambiant dans l'inspecteur (révélation à la demande sur la clause),9,OUI,"Résout la faiblesse majeure de découvrabilité : l'aide arrive là où l'annotateur travaille vraiment (inspecteur), pas dans un panneau opt-in; Révélation progressive native : replié = zéro pollution, déplié = explication complète à la demande; Réutilise le TriageResult et les composants existants (faible duplication de logique)","L'inspecteur est déjà dense (thème, multi-label, nature, certitude, evidence, rationale, juges, commentaires) : risque d'empilement vertical; Nécessite de câbler le niveau de triage sur la clause focalisée (mapping index→TriageResult) hors du contexte File; Deux lieux d'arbitrage (File + inspecteur) à garder synchrones conceptuellement (risque de redondance perçue)",Réduit nettement la charge cognitive du nouvel annotateur : il comprend POURQUOI une pré-annotation est proposée sans changer de panneau ni découvrir un mode caché ; accélère la validation des C1/C2 en flux normal (un clic 'Confirmer' justifié) et évite les acceptations à l'aveugle de pré-annotations LLM non validées.
08,"Arbitrage & explicabilité C1–C5 (proposition du moteur, pourquoi, actions + alternatives, révélation à la demande)",Carte d'arbitrage 'décision-first' à 2 temps (verdict compact → preuve à la demande),7,,"Diminue drastiquement la densité par défaut : décision en un coup d'œil, preuve à la demande (révélation progressive poussée à son terme); Accélère le tri en masse (C1/C2) : moins à lire avant d'accepter, scan plus rapide de la file; Lisibilité accrue (micro-typo remontée, AA garanti)","Replier le 'pourquoi' par défaut peut nuire à la traçabilité/confiance sur les niveaux DÉLICATS (C4/C5) où l'annotateur DOIT voir les votes avant de trancher — il faudrait déplier d'office détails sur C4/C5; Refonte de composant plus lourde que les variantes 1 et 2 (états, raccourci, tests); Risque d'ajouter un clic là où l'annotateur expert voulait tout voir (atténuable par préférence 'toujours déplier')","Accélère sensiblement le traitement des cas faciles (moins de bruit visuel avant le geste) ; pour les cas durs, gain nul voire un clic de plus si les détails ne s'ouvrent pas automatiquement — donc effet positif net surtout sur les campagnes à forte proportion de C1/C2, neutre sur les corpus très litigieux."
09,États des boutons (repos/hover/actif/désactivé/chargement/succès/erreur) — système d'états,Button as State Machine (machine d'états unifiée),9,OUI,"Source unique de vérité : repos/hover/actif/désactivé/chargement/succès/erreur tous au même endroit, testables une fois; Élimine la double vérité couleur (emerald/amber/red bruts → tokens) et la dérive entre composants; Couvre enfin le pending des actions longues (Soumettre 8s) → fin de la perception de blocage et des double-clics; Hiérarchie de risque via variant danger pour les actions destructrices","Migration transverse : il faut convertir tous les boutons ad hoc (SelectionToolbar, BlockToolbar, toolbar) sous peine de système hétérogène mi-figue; API du composant qui grossit (variant + isLoading + tone + icônes) : risque de sur-configuration si non documentée","L'annotateur voit immédiatement qu'un clic sur Soumettre est pris en compte (spinner) et a abouti (Check vert), supprimant l'anxiété d'attente et les doubles soumissions ; les boutons se comportent partout pareil → charge cognitive réduite, vitesse de geste accrue car plus d'hésitation 'est-ce que ça a marché ?'."
09,États des boutons (repos/hover/actif/désactivé/chargement/succès/erreur) — système d'états,Tokenisation d'états sans nouvelle API (refactor conservateur),6,,"Effort minimal, risque de régression faible : pure substitution de classes, pas de changement d'API; Règle la double vérité couleur et la non-bascule clair/sombre immédiatement; Apporte la hiérarchie danger sans refonte",Ne résout PAS le manque d'état chargement/succès/erreur asynchrone — la douleur la plus impactante reste entière; Chaque appelant continue de bricoler son pending → l'incohérence d'implémentation persiste; Demi-mesure : on revient bientôt pour le loading,"Gain de cohérence visuelle (un seul vert 'validé' partout, lisible en clair comme sombre) mais l'annotateur reste sans retour pendant la soumission longue : l'anxiété d'attente et les double-clics ne disparaissent pas. Charge cognitive marginalement réduite."
09,États des boutons (repos/hover/actif/désactivé/chargement/succès/erreur) — système d'états,Feedback optimiste + révélation progressive (états contextuels au geste),7,,"Colle au modèle mental de l'atelier : le retour apparaît là où se fait l'action (la phrase), pas seulement sur le bouton; Soumission longue rendue tolérable par barre + toasts, sans figer l'UI (cohérent avec soumission en tâche de fond existante); Révélation progressive : zéro pollution visuelle permanente",N'unifie pas la grammaire de bouton : les états repos/hover/disabled restent dispersés et toujours en partie ad hoc; Feedback optimiste = complexité de rollback (gérer l'échec après coup) et risque d'incohérence si autosave échoue silencieusement; Multiplie les canaux de feedback (toast + barre + couleur de phrase) → cohérence à orchestrer,"Vitesse maximale sur les gestes répétés (validation instantanée perçue, curseur collant fluide) et soumission vécue comme non bloquante ; mais sur les actions ponctuelles, l'absence d'état standard sur le bouton laisse subsister des micro-doutes. Forte baisse de charge cognitive sur le geste répétitif, neutre ailleurs."
10,Barre d'outils de l'atelier (WorkspaceToolbar),Toolbar en 3 zones tokenisée (contexte / outils / actions),8,,"Effort faible, zéro changement d'architecture : on garde tous les contrôles existants et leurs data-testid, on ne casse aucun test E2E.; Crée immédiatement une hiérarchie lisible (contexte | outils | actions) qui réduit la recherche visuelle et isole la zone d'action critique.; Tokenisation complète : bascule clair/sombre correcte et contraste AA centralisé, supprime la dette de couleurs en dur.; Aucune nouvelle interaction à apprendre pour l'annotateur — risque d'adoption nul.","Ne résout pas le fond du problème de volumétrie : ~15 contrôles restent visibles en permanence, donc l'écran étroit reste sujet au flex-wrap massif.; La distinction destructif/non destructif reste faible (le prefill destructeur demeure un radio au centre).; Gain de révélation progressive limité : peu de choses passent 'à la demande'.","Réduit la charge cognitive à chaque coup d'œil : l'annotateur sait où regarder (état à gauche, actions de session à droite) et ne re-scanne plus toute la barre pour trouver Soumettre. Vitesse de repérage améliorée sur les actions fréquentes ; pas de gain sur écran très étroit."
10,Barre d'outils de l'atelier (WorkspaceToolbar),Barre épurée + tiroir 'Affichage/Outils' à révélation progressive,9,OUI,"Désengorge réellement la barre : ~6-7 contrôles permanents au lieu de 15, robuste sur écran étroit (plus de mur de boutons).; Applique fortement la révélation progressive : les destinations rares (Insights, Versions, Tour) ne polluent plus l'espace permanent.; Hiérarchie destructif/critique nette : prefill (warning) et Soumettre (primary) ressortent ; le reste s'efface.; Meilleure cohérence : un seul point d'entrée 'Outils/Affichage' au lieu de redondances éparpillées.","Découvrabilité réduite des panneaux mis en tiroir : un nouvel annotateur peut ne pas trouver Commentaires/Historique (à mitiger par libellés clairs + raccourcis).; Un clic de plus pour accéder aux fonctions déplacées (coût pour utilisateurs avancés qui s'en servent souvent).; Effort moyen : nouveau composant menu overflow + accessibilité clavier (menu role=menu, focus trap), et adaptation des tests qui ciblaient les boutons directs.","Forte baisse de charge cognitive : la barre ne montre que ce qui sert au geste d'annotation courant, l'œil se pose sur 2 actions clés (prefill / Soumettre). Annotateurs avancés payent un clic de plus pour les outils rares, largement compensé par la lisibilité quotidienne ; sur écran étroit, fin du wrap chaotique."
10,Barre d'outils de l'atelier (WorkspaceToolbar),Barre contextuelle (adaptative selon le mode de session),7,,"Charge cognitive minimale par état : l'annotateur ne voit jamais de contrôles inertes ou non pertinents (ex. Soumettre désactivé en readOnly disparaît au lieu d'occuper l'espace grisé).; Améliore la découvrabilité de l'arbitrage LLM (douleur explicite) en faisant remonter ses outils quand le mode Compare est actif.; Surface d'action toujours minimale et adaptée → meilleure lisibilité dans tous les cas (édition, lecture, compare, verrouillé).","Complexité d'implémentation et de test la plus élevée : logique conditionnelle par mode, multiples états à câbler et à couvrir en E2E (risque de régressions croisées).; Risque d'instabilité spatiale : des contrôles qui apparaissent/disparaissent selon le mode peuvent désorienter (loi de constance de position) si non gérés avec soin.; Couplage accru entre la barre et l'état global (llmSource, readOnly, status, locked) — la barre devient moins prévisible et plus difficile à maintenir.","Quand bien réglée, c'est l'expérience la plus fluide : chaque mode ne présente que ses actions utiles, donc vitesse et confiance maximales et arbitrage LLM enfin visible. Mais le risque de mouvement des contrôles peut, à l'inverse, ralentir l'utilisateur s'il doit ré-apprendre la position des boutons selon le contexte."
11,"Fantômes LLM & loupe d'injustice CLAUDETTE (overlays, hover, œil)",Centre de calques unifié (Overlay Hub),8,,"Résorbe directement la douleur de dispersion des toggles (plus de fieldset Plan vs barre sticky Document); Un seul lieu de réglage de densité visuelle, découvrabilité accrue; Permet d'introduire une priorité d'overlay (atténuation mutuelle) au même endroit","Effort d'intégration transverse (touche toolbar, plan, DocumentPanel) au-delà du seul périmètre injustice; N'allège pas en soi la charge visuelle d'une phrase multi-catégories; Risque de cacher des overlays utiles derrière un clic de plus","Réduit la charge cognitive de recherche (« où est ce réglage ? ») et donne le contrôle de la densité : l'annotateur compose sa vue en 1 endroit, gagne en confort de lecture durable plus qu'en vitesse de geste ponctuel."
