id,dimension,severity,area,title,files,recommendation,confirmed
annotator-sees-others-sessions,backend-api-perms,major,security,"Un annotateur membre peut lire les sessions complètes (clauses, rationale, certitude) des autres annotateurs",backend/claire/annotations/views.py:69-110 | backend/claire/annotations/views.py:385-400 | backend/claire/common/permissions.py:73-87,"Décider explicitement la politique de visibilité inter-annotateurs. Pour préserver l'indépendance : restreindre la lecture du CONTENU d'une session (clauses) à son auteur + admin/reviewer, et/ou n'exposer les annotations d'autrui qu'une fois la session courante soumise (gate sur status). Réserver la comparaison N-way (zone de collaboration B) à un endpoint dédié contrôlé, plutôt que de laisser la lecture brute ouverte à tout membre.",True
comments-no-project-isolation,backend-api-perms,major,security,CommentViewSet expose TOUS les commentaires de la plateforme à tout utilisateur authentifié,backend/claire/collaboration/views.py:10-23,"Ajouter get_queryset filtrant par appartenance projet de l'annotation liée (Q(annotation__project__memberships__user=user) ou admin), et une object-permission auteur/admin pour patch/delete/resolve. Idéalement restreindre la lecture des commentaires d'une session aux participants concernés.",True
activity-no-project-isolation,backend-api-perms,minor,security,ActivityEventViewSet expose le journal d'activité global à tout utilisateur authentifié,backend/claire/audit/views.py:9-36,"Filtrer par défaut sur les projets dont l'utilisateur est membre (sauf admin/reviewer), et ignorer/borner ?project aux projets autorisés.",
admin-only-reads-actually-open,backend-api-perms,minor,security,Plusieurs lectures « réservées admin » sont en réalité ouvertes à tout authentifié (IsAdminRole laisse passer SAFE_METHODS),backend/claire/common/permissions.py:19-27 | backend/claire/corpora/views.py:21 | backend/claire/corpora/views.py:41 | backend/claire/schemes/views.py:13 | backend/claire/translations/views.py:17 | backend/claire/imports/views.py:17 | backend/claire/exports/views.py:14,"Si l'intention est réellement « admin only » pour ces ressources, utiliser une permission stricte (admin pour toutes les méthodes) ou filtrer get_queryset par appartenance. Sinon, documenter clairement que IsAdminRole = « écriture admin, lecture authentifiée » et confirmer que l'exposition lecture (corpus brut, pré-annotations, jobs d'export d'autres projets) est voulue.",
preannotation-import-no-judge-validation,backend-api-perms,info,backend,import_preannotations / seed accepte un identifiant de juge arbitraire sans validation,backend/claire/projects/views.py:290-311 | backend/claire/annotations/views.py:126-136,"Valider/normaliser l'ensemble des juges autorisés (liste fermée), et s'assurer que l'UI distingue toujours visuellement une session humaine d'une session seedée LLM via Annotation.source. Vérifier côté IAA que les sessions `source=llm` ne sont pas mélangées aux sessions humaines dans les concordances.",
assignment-status-not-derived,backend-api-perms,info,data-model,Le statut d'avancement renvoyé par assignments/annotators-progress n'est pas toujours dérivé de la session réelle,backend/claire/projects/serializers.py:63-76 | backend/claire/projects/views.py:203-225,"Aligner la source de vérité de l'avancement sur Annotation.status, précharger annotation_id dans le queryset (annotate/Prefetch) pour éviter le N+1 du serializer, et envisager une agrégation SQL unique pour annotators_progress.",
silent-format-fallback,backend-exports,blocker,export,"4 formats sur 6 (conll, xml, md, huggingface) retombent silencieusement en JSONL avec une extension trompeuse",backend/claire/exports/services.py:84-89 | backend/claire/exports/services.py:81 | backend/claire/exports/models.py:9-15 | frontend/src/app/(app)/admin/exports/page.tsx:11-18 | backend/tests/test_export.py:25-54,"Implementer reellement conll/xml/md/huggingface, ou a minima rejeter (400) les formats non implementes au lieu d'un fallback silencieux et ne lister que les formats disponibles. Corriger aussi le manifeste qui reflete le format demande, pas produit (services.py:93).",True
snapshot-drops-validated-source,backend-exports,major,export,"build_snapshot omet validated, source, order — l'export ne distingue pas une annotation humaine validee d'un seed LLM",backend/claire/annotations/services.py:54-72 | backend/claire/annotations/models.py:54-57 | backend/claire/annotations/models.py:99-107 | backend/claire/exports/services.py:76,"Ajouter dans build_snapshot ou un serialiseur d'export dedie: annotation.source, timestamps, et par clause validated et order. Exclure/marquer les annotations source=preannotation_seed non retravaillees. Attention build_snapshot sert aussi aux AnnotationVersion immuables (services.py:85).",True
no-download-endpoint,backend-exports,blocker,export,Aucun endpoint de telechargement de l'artefact — artifact_path est un chemin filesystem serveur non expose,backend/claire/exports/services.py:78-82 | backend/claire/exports/services.py:106 | backend/claire/exports/views.py:9-14 | frontend/src/app/(app)/admin/exports/page.tsx:86,"Ajouter une action download (FileResponse Content-Disposition ou redirection vers stockage signe) sur ExportJobViewSet protegee par IsAdminRole, et un bouton Telecharger dans l'UI. Confiner le path a EXPORTS_DIR (anti path traversal).",True
no-iaa-export-artifact,backend-exports,major,export,Pas de format d'export dedie a la concordance/matrice IAA — l'IAA n'est qu'un endpoint de lecture,backend/claire/projects/views.py:271-287 | backend/claire/projects/iaa.py:55-97 | backend/claire/exports/models.py:9-15,"Ajouter un ExportFormat iaa_matrix (CSV/JSON kappa + per_theme + boundary) produit par run_export, ou un export aligned-by-sentence groupant tous les annotateurs d'un document (une colonne theme par annotateur par phrase), exploitable pour Cohen/Fleiss kappa et trace comme artefact versionne.",True
export-synchronous-in-request,backend-exports,major,perf,Export 100% synchrone dans la requete HTTP malgre le modele job — pas de robustesse gros volumes,backend/claire/projects/views.py:512-521 | backend/claire/exports/services.py:70-89 | backend/claire/exports/models.py:18-23,"Deporter run_export vers une tache async (Celery/RQ), repondre le job PENDING immediatement, front poll GET /exports/{id}. Prefetch des clauses dans _selected_annotations. Streamer l'ecriture jsonl plutot que materialiser records.",True
atomic-wraps-disk-io,backend-exports,minor,backend,@transaction.atomic enveloppe l'I/O disque; le re-raise rollback le save FAILED et laisse un artefact orphelin,backend/claire/exports/services.py:70-119,"Sortir l'I/O disque du atomic; n'envelopper que les writes DB. Faire le save(FAILED) hors atomic pour qu'il survive au rollback, supprimer le fichier partiel (unlink missing_ok=True), envisager ecriture atomique (temp + rename).",
manifest-and-scope-traceability,backend-exports,info,export,Scope par defaut gold raisonnable mais scope.statuses non valide et manifeste sans ventilation par annotateur/statut,backend/claire/exports/services.py:33-41 | backend/claire/exports/services.py:91-105 | backend/claire/annotations/models.py:21-27,"Valider/whitelister les statuts acceptes dans scope (refuser archived), enrichir le manifeste avec une ventilation par statut et par annotateur pour audit et reproductibilite.",
switcher-duplicate-rows-admin,frontend-workspace,blocker,frontend,DocumentSwitcher liste n_docs x n_annotateurs entrees pour admin,frontend/src/components/workspace/DocumentSwitcher.tsx:38-58 | backend/claire/projects/views.py:70-76,Filtrer sur assigneeId=me.id via useMe.,True
switcher-wrong-session-on-nav,frontend-workspace,blocker,ux,Navigation ouvre la session d un autre annotateur,frontend/src/components/workspace/DocumentSwitcher.tsx:41-73,Resoudre via document+me.id.,True
switcher-duplicate-testid,frontend-workspace,major,test,data-testid options non unique,frontend/src/components/workspace/DocumentSwitcher.tsx:151,Baser testid sur annotationId.,True
admin-assignments-overfetch-duplication,frontend-campaign,blocker,backend,Backend: assignments renvoie n_docs x n_annotateurs pour un admin,backend/claire/projects/views.py:73-74 | backend/claire/projects/serializers.py:72-74,"Vue mes-assignations filtrant assignee=user meme admin, distincte de la vue admin (scope ou 2 endpoints).",True
dashboard-home-duplique,frontend-campaign,blocker,frontend,Dashboard/Home: Mes assignations affiche les assignations de tous pour un admin,frontend/src/app/(app)/projects/SLUG/page.tsx:48-60 | frontend/src/app/(app)/home/page.tsx:35-47,Filtrer sur assigneeId=me.id et ouvrir MA session via createAnnotation.,True
docs-switcher-work,frontend-campaign,major,frontend,"docs page (Map ecrasante), DocumentSwitcher (doublons combobox), work (over-fetch)",frontend/src/app/(app)/projects/SLUG/docs/page.tsx:19-24 | frontend/src/components/workspace/DocumentSwitcher.tsx:38-58 | frontend/src/app/(app)/work/page.tsx:31-34,Filtrer docs et Switcher sur useMe ; pour work eviter le test !me.,True
assignment-no-name,frontend-campaign,major,data-model,Contrat Assignment sans nom d'annotateur => doublons indesambiguables,frontend/src/types/contract.ts:226-234,Ajouter assigneeName/assigneeUsername ; separer MON annotationId de celui de l'assignee.,True
nav-supervision-matrix-topbar,frontend-campaign,major,ux,Nav sans separation des espaces; supervision non liee au dashboard; matrice sans statut; TopBar auto-select,frontend/src/components/shell/Sidebar.tsx:42-68 | frontend/src/app/(app)/projects/SLUG/page.tsx:21-87 | frontend/src/app/(app)/admin/projects/SLUG/page.tsx:88-270 | frontend/src/components/shell/TopBar.tsx:30-34,"Grouper la nav (Corpus, MA session, Supervision, Collaboration) ; lier la supervision au dashboard ; statut par cellule ; pas d'auto-select arbitraire pour admin.",True
judge-view-no-readonly,frontend-collab-ux,major,ux,Source juge sans signal lecture seule; menu actif ecrit dans ma session,frontend/src/components/workspace/DocumentPanel.tsx:1081 | frontend/src/components/workspace/DocumentPanel.tsx:865 | frontend/src/components/workspace/LlmSourceSwitch.tsx:22-30,Bandeau lecture seule si source non humaine; bloquer/confirmer le menu.,True
collab-not-grouped,frontend-collab-ux,major,ux,Collaboration non regroupee ni nommee comme espace distinct,frontend/src/components/workspace/DocumentPanel.tsx:388-392 | frontend/src/components/workspace/CollabBar.tsx:66-76,Regrouper presence+invitation+commentaires sous Collaboration distinct de Mon annotation.,True
shared-grammar,frontend-collab-ux,major,design,Meme grammaire radiogroup pour voir/ecraser/comparer/commenter,frontend/src/components/workspace/LlmSourceSwitch.tsx:71 | frontend/src/components/workspace/WorkspaceToolbar.tsx:208 | frontend/src/components/workspace/CommentsPanel.tsx:189,Distinguer visuellement ecriture-sur-session vs visualisation/collaboration.,True
adopt-no-confirm,frontend-collab-ux,minor,ux,Reprendre et arbitrages de divergence ecrivent sans confirmation,frontend/src/components/workspace/InspectorJudgeCompare.tsx:110-123 | frontend/src/components/workspace/DocumentPanel.tsx:313-321,"Retour visuel + annulation, ou sortir ces actions des zones nommees comparer.",
help-vs-session-naming,frontend-collab-ux,minor,ux,Aide LLM vs vraie session jamais nommees a l'ecran,frontend/src/components/workspace/DocumentPanel.tsx:697-714 | frontend/src/components/workspace/WorkspaceToolbar.tsx:190 | frontend/src/store/workspace.ts:55-61,"Legende persistante des pastilles + reformuler Pre-remplir en Pre-remplir (aide, a valider).",
compare-redundancy,frontend-collab-ux,info,ux,Deux comparaisons (/compare humain-vs-claude et ComparePanel N-way) sans lien clair,frontend/src/app/(app)/compare/page.tsx:46-77 | frontend/src/components/workspace/ComparePanel.tsx:6-13,Distinguer Comparer les modeles entre eux vs Comparer ma session au modele.,
comment-author-raw,frontend-collab-ux,minor,ux,CommentThread (inspecteur) affiche l'id brut de l'auteur,frontend/src/components/workspace/CommentThread.tsx:35 | frontend/src/components/workspace/CommentsPanel.tsx:143-154,Unifier l'affichage d'auteur via useContributors entre les deux composants.,
presence-flag-silent,frontend-collab-ux,info,ux,Presence/invitation disparait totalement quand le flag presence est off,frontend/src/components/workspace/CollabBar.tsx:31 | frontend/src/lib/collab/useLivePresence.ts:28-37,Garder un point d'entree Collaboration coherent meme sans presence temps reel.,
hardcoded-tailwind-state-colors,design-a11y,major,design,~86 couleurs Tailwind en dur contournent les tokens semantiques,frontend/src/components/ui/primitives.tsx:79-82 | frontend/src/components/workspace/WorkspaceToolbar.tsx:383-392,Tokens semantiques centralises (StatusPill/SaveIndicator).,True
surface-line-css-var-typo,design-a11y,major,frontend,Var CSS inexistante --surface-line (token: --surface-border),frontend/src/components/workspace/ModelBoundaryRail.tsx:108 | frontend/src/components/workspace/DocumentPanel.tsx:662,Remplacer par --surface-border ou la classe Tailwind line.,True
theme-fouc-no-blocking-script,design-a11y,major,ux,"FOUC du theme (html=dark fige, applique en useEffect)",frontend/src/app/layout.tsx:30-34 | frontend/src/app/providers.tsx:41-49 | frontend/src/store/ui.ts:69-73,Script inline bloquant appliquant light/dark avant le premier paint.,True
no-prefers-reduced-motion,design-a11y,major,ux,"prefers-reduced-motion ignore partout (charte 9, a11y 8)",frontend/src/app/globals.css:1-106 | frontend/tailwind.config.ts:59-67,"@media (prefers-reduced-motion: reduce): durees ~0, scroll auto.",True
save-indicator-no-live-region,design-a11y,major,ux,Autosave sans role=status/aria-live (echec silencieux SR),frontend/src/components/workspace/WorkspaceToolbar.tsx:380-410,role=status aria-live=polite aria-atomic; annonces pose/undo/redo.,True
no-test-assignments-dedup-cardinality,tests,blocker,test,Aucun test sur la cardinalité de GET /assignments (bug de duplication non couvert),backend/claire/projects/views.py:70 | backend/tests/test_api_contract_shapes.py:137 | backend/tests/test_permissions.py:1,"Ajouter dans test_permissions.py (ou un nouveau test_assignments.py) : un test qui crée 1 doc + 3 annotateurs (3 Assignment) et asserte (a) annotateur → 1 ligne (la sienne), (b) admin → comportement attendu après refonte (soit dédupliqué par document, soit endpoint dédié d'avancement). Test sans @requires_data, sur fixtures factory-boy, pour qu'il s'exécute toujours.",True
frontend-pages-untested,tests,blocker,test,"Les pages consommant assignments (home, docs, DocumentSwitcher) ne sont testées par rien",frontend/src/app/(app)/home/page.tsx:18 | frontend/src/app/(app)/projects/[slug]/docs/page.tsx:19 | frontend/src/components/workspace/DocumentSwitcher.tsx:39 | frontend/vitest.config.ts:21,"Ajouter tests/documentList.test.tsx : rendre ProjectDocs et DocumentSwitcher avec une fixture admin où le même document apparaît 3× (3 assignees) et asserter (a) chaque document n'apparaît qu'UNE fois dans le switcher, (b) l'annotationId résolu est bien celui de l'utilisateur courant, pas un écrasement non déterministe. Étendre coverage.include à src/app et src/components.",True
msw-fixture-single-annotator,tests,major,test,La fixture MSW ne modélise qu'un seul annotateur → scénario multi-annotateur intestable côté front,frontend/src/mocks/fixtures.ts:199 | frontend/src/mocks/handlers.ts:124,Ajouter une fixture FIXTURE_ASSIGNMENTS_ADMIN (même document assigné à alice/bruno/zahra) et un handler conditionnel (ex. ?as=admin) ; brancher un e2e qui ouvre le switcher en contexte admin et asserte l'unicité des documents. Sinon les tests verts donnent une fausse assurance que la duplication n'existe pas.,True
no-iaa-frontend-and-thin-backend,tests,major,test,IAA/concordance : couverture backend minimale (kappa parfait/total) et zéro test bout-en-bout sur l'endpoint progress,backend/tests/test_iaa.py:34 | backend/tests/test_api_contract_shapes.py:108 | backend/claire/projects/views.py:250,"Étendre test_iaa.py avec un cas 3 annotateurs en désaccord partiel (mean_kappa strictement entre 0 et 1, len(pairs)==3) et un cas perTheme. Ajouter un test sans @requires_data sur /progress (fixtures factory-boy) vérifiant myAssigned/myDone par utilisateur et la structure iaaDetail.",True
no-export-per-annotator,tests,major,test,Export par-annotateur non testé (seul l'export agrégé l'est),backend/tests/test_export.py:25 | backend/tests/test_export.py:56,"Ajouter test_export_multi_annotateurs : 2 annotations submitted sur le même document par 2 annotateurs → asserter que l'artefact contient 2 enregistrements distincts attribués (champ annotator/annotatorId présent), manifest n_annotations==2, et que l'export par-annotateur (si filtre prévu par la refonte) isole correctement chaque session.",True
session-isolation-only-at-api,tests,major,test,"Isolation des sessions testée seulement en lecture/écriture API, pas dans l'UI ni dans l'agrégation admin",backend/tests/test_permissions.py:34 | backend/tests/test_security_m9.py:72 | frontend/tests/workspaceStore.test.ts:1,Ajouter (back) un test qu'un admin GET l'annotation d'un annotateur (lecture supervision OK) mais qu'un PATCH/clause par l'admin sur une session qui n'est pas la sienne est refusé OU explicitement permis selon la règle métier retenue. Ajouter (front) un test que le routage du switcher mène à l'annotationId de l'utilisateur courant.,True
bulk-assign-untested,tests,major,test,L'endpoint assignments/bulk (produit cartésien + overlap round-robin) n'a aucun test,backend/claire/projects/views.py:92 | backend/tests/test_refinements.py:107,"Ajouter test_assignments_bulk : (a) mode assignees → n_docs × n_assignees Assignment créés, second appel idempotent (created==0) ; (b) mode overlap=k → exactement k annotateurs par doc, distribution équilibrée ; (c) 403 pour non-admin. Garantit que la base des concordances/IAA repose sur des assignations correctes.",True
tests-skip-silently-no-data,tests,major,test,Tests back critiques skippés silencieusement sans le corpus réel → faux vert,backend/tests/test_api_contract_shapes.py:27 | backend/tests/test_insights_collab.py:32 | backend/tests/test_multiversion.py:20,"Construire un mini-corpus de fixtures factory-boy (2 docs, 5 phrases, 1 scheme) pour exécuter les assertions de shape SANS @requires_data, et réserver @requires_data uniquement aux vérifications spécifiques au vrai dataset. Faire échouer la CI si le taux de skip dépasse un seuil, ou marquer ces skips comme xfail visibles.",True
no-regression-test-duplication,tests,major,test,Aucun test de non-régression dédié au symptôme de duplication observé en prod,frontend/e2e/admin.spec.ts:9 | frontend/e2e/document-ux.spec.ts:1 | backend/tests/test_permissions.py:1,Créer un test de non-régression nommé explicitement (ex. e2e/no-duplicate-documents.spec.ts + backend test_assignments_no_duplicate_for_admin) ancré sur le scénario seed_team --assign (1 doc × 3 annotateurs). C'est le garde-fou direct du bug central.,True
coverage-scope-too-narrow,tests,minor,test,"Le périmètre de couverture exclut app router, workspace et l'essentiel des composants",frontend/vitest.config.ts:19,"Étendre coverage.include à 'src/app/**' et 'src/components/**', avec des seuils (lines/branches) sur les modules à risque (pages assignments, DocumentSwitcher). Permet de rendre visible le trou de couverture des pages.",
no-ws-presence-multiuser-test-front,tests,minor,test,Présence/collaboration temps réel multi-utilisateur peu couverte côté front,frontend/tests/collabWs.test.ts:1 | frontend/tests/collabClient.test.ts:1 | backend/tests/test_presence_ws.py:1,Ajouter un test (front simulé ou back WS) : deux utilisateurs présents sur le même document émettent présence/commentaires (collaboration) sans que cela modifie les draftClauses de l'autre (session). Verrouille l'invariant A≠B visé par la refonte.,
